Number Order Height Timestamp Address Amount(Meer) profit(Meer)
802 214959 211497 1639289037 MmWSXnMoxiZuma4D7TYpQZ6uLFYpiXa8c8X 100 24.91595721
803 215327 211817 1639298418 MmN3naE5eGGaveXQxvgWs3mnwDvSegyUeey 1000 249.15957216
804 215327 211817 1639298464 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 1000 249.15957216
805 215615 212061 1639305821 Mmh9ynK4XVK4zRPFFQgkYBuxjMBDBNne9KE 0.001 0.00024915
806 215897 212338 1639314203 MmQLA1CGoW6kSuW6BE3Q9KM5PxDmEK1iyLz 55 13.70377646
807 217725 214048 1639365895 MmdgMa2oBET9xS3ZY9H6WuPqQfmiS71qbSY 611.5 152.36107837
808 217955 214229 1639370657 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 100 24.91595721
809 220814 216728 1639446242 MmSBoy37jGkkMTE1sk7L9KfVqrFm8khf71W 116.49 29.02459856
810 221659 217460 1639467904 MmhczbvAAGh9NkQt95XgaUtVSjCYjUGURv3 170 42.35712726
811 222079 217829 1639479024 MmgryJ1hy4zFpsA74XC6xD9zv5RUZbfhRMP 1500 373.73935824
812 224676 220181 1639550501 MmRVVBWNn2td24Lp4yPwd5w9peqNfxZBVWn 500 124.57978608
813 224862 220316 1639554094 MmN3naE5eGGaveXQxvgWs3mnwDvSegyUeey 1000 249.15957216
814 225195 220616 1639563819 MmczJNEQ3HpWDiDN94Wbo8hyFwm69vyjrZH 8500 2117.85636338
815 225760 221093 1639578186 MmhczbvAAGh9NkQt95XgaUtVSjCYjUGURv3 51 12.70713818
816 225789 221113 1639578990 MmQCqqud2zWUeu1AKvFpgLpn3YC9H9WCrDT 407 101.40794587
817 226068 221380 1639587144 MmTYpWVtbbJsNt4rFuUFbtdez7f61hPSZVN 100 24.91595721
818 226077 221388 1639587534 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 100 24.91595721
819 227863 223011 1639635699 MmUqSxeiX7cCs5tyjoznSzckoD1z34aXQv5 149.999 37.37368666
820 229006 224038 1639666587 Mmi5a8ogNZX95X7sArxmPtL3nQHmE5q7vQR 12 2.98991486
821 230906 225762 1639718248 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 118 29.40082951
822 233516 228198 1639793534 MmKyXQezZsz2MfHfojkJeuxhPKd2Cyy96L6 500 124.57978608
823 233761 228428 1639800301 MmazENqv1mU9sy3C3VgKNUiVKAi2ewyZWiE 50.1 12.48289456
824 233946 228593 1639805245 MmchK5bsiUcKMjkuiS48fNjEMSFuu4qYhk8 1000 249.15957216
825 234169 228792 1639811398 MmVsfChfXVWULSrZUpH5BrZ76uDuQa9Wn5T 50 12.45797860
826 234484 229082 1639819956 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 20000 4983.19144325
827 234485 229083 1639819969 MmfneLY9u2vsQZThJeRA1mE5e1HVS94K7nT 1000 249.15957216
828 235194 229761 1639840735 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 475 118.35079677
829 240497 234692 1639987030 MmZfba8wgaQNbzbR6Ee2dEWviy819fNJzSA 500 124.57978608
830 241302 235360 1640007949 MmUF5Egj8teMPNH2eWdRM2J1zFARSakFE5q 100 24.91595721
831 241920 235951 1640025299 MmcbDymccGWpaNENukfaS9KbM5HiFkWoq5D 35 8.72058502
832 242334 236355 1640037287 MmUZdQHKKiZm2gpfNYvJxX4xRZn5N5MmSho 1500 373.73935824
833 242643 236656 1640046112 MmKyXQezZsz2MfHfojkJeuxhPKd2Cyy96L6 1000 249.15957216
834 243114 237025 1640057874 MmcDCKNwcr3Se36ZcA1qyDSUovQBvKngjuy 0.366 0.09119240
835 243579 237352 1640067876 MmRRTT11wPL2mQxiCmdza9WAm9snzXR8Mcy 720 179.39489195
836 243719 237460 1640070839 MmPLTR1gSP7ER8f52WriD1sTQMULLf9PnHU 203 50.57939314
837 246092 239675 1640137289 MmZmBgsAELGUC1F6wn5jDC6h9HghKCCFphJ 1000 249.15957216
838 246110 239689 1640137657 MmiAZpXeVFKjnYMd9EUoah5vbrrCgSF4WZ5 400 99.66382886
839 246131 239706 1640138182 MmfXV9RQnfGbLrmqekeL5AfprscR3zcq3Kk 311 77.48862694
840 246590 240033 1640147842 MmZW9mteGHYdcZtRLhPUnL9BorFGEYtdybi 905 225.48941280
841 246850 240264 1640154853 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 120 29.89914865
842 247039 240419 1640159501 MmZVo1zhkevQpGDsXqz5LQgmnodx5QH9mkB 500 124.57978608
843 247205 240552 1640163500 MmN3naE5eGGaveXQxvgWs3mnwDvSegyUeey 1000 249.15957216
844 247763 241053 1640178737 MmgqW999BEJQG4TgnpLQQghmM1NVVJWsjVy 794 197.83270029
845 247889 241177 1640181944 MmX9RxuGeZmXFv2R3uGa4SUupEdry9NAJmF 230 57.30670159
846 248352 241631 1640195632 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 2000 498.31914432
847 249306 242557 1640223703 MmR7STCsZ7v5J4CWPieyP72fdB1vHqQCnHj 224 55.81174416
848 249447 242666 1640227282 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 28 6.97646802
849 249656 242822 1640232003 MmiGVLbmtnCQMMPMZk9iLpLdMf2HQJ463GT 315 78.48526523
850 251094 244062 1640269129 MmchK5bsiUcKMjkuiS48fNjEMSFuu4qYhk8 3000 747.47871648
851 252787 245638 1640319240 MmZVo1zhkevQpGDsXqz5LQgmnodx5QH9mkB 500 124.57978608
852 252950 245766 1640322725 Mma9ezvbzSYNLEXPasWokx1GaoDtUNe1682 53.55 13.34249508
853 255521 248159 1640393078 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000 249.15957216
854 255598 248226 1640395178 MmQLA1CGoW6kSuW6BE3Q9KM5PxDmEK1iyLz 150 37.37393582
855 256051 248568 1640405334 MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 39 9.71722331
856 256770 249175 1640423452 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 1000 249.15957216
857 257098 249445 1640431335 MmaAp4YyH1nqBQyBGNBZ4zrcM3AkEGTZTs8 2000 498.31914432
858 257354 249672 1640438435 MmbWS3CimuWwveKfhToxEMyUdHHjbXgSFvb 500 124.57978608
859 259584 251641 1640498161 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 549 136.78860511
860 259800 251817 1640504089 MmNeYZnxcoygSZ9Fnr8twhYsgE6FXCE83re 200 49.83191443
861 260261 252214 1640515478 MmQVeCYqCB7LNmmx8WBgcXRDwLsfn29EWH9 484 120.59323292
862 260281 252228 1640515933 MmLGSSYQh13BGBh6bGGmvpKRbYVUoJnxmqc 1000 249.15957216
863 262372 254167 1640574018 MmZKUSnb4oGQALYNkfC4buKYRvKXXpWC8Qp 768 191.35455142
864 262820 254516 1640584799 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 100 24.91595721
865 263465 255051 1640600537 MmcAeVfCvuctkewkDxzUdwXcAHxqSwDDzxo 1300 323.90744381
866 265604 257032 1640663417 Mme127pugaMw8dQv5e6EZpPdWiEHqcBfAVQ 50 12.45797860
867 268099 259328 1640730134 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 13 3.23907443
868 268889 260001 1640750423 Mmgysbae5q8DMRC5sWFpR7bX8QuVaYgYqfY 424 105.64365859
869 268995 260077 1640752487 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50 12.45797860
870 269083 260142 1640754515 MmQVD9ZkW2MznvhBiRD1Ycb3KgMZw7WB3b5 1000 249.15957216
871 269144 260196 1640756338 MmfBSxK6o4hzTXArtvtfwURvLkcEL2mdEDx 210 52.32351015
872 269523 260501 1640765463 MmidLgv1wUCFwATXi9fWpiuTUg51TsbRiv7 1003 249.90705087
873 269569 260534 1640766731 Mma84KVNJ1GH79uswDCyc5rUijzbrErD15q 1500 373.73935824
874 269697 260644 1640769561 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 1000 249.15957216
875 270357 261212 1640786404 MmgMPvbacsoFqrZJcqhVm5aMSTVV5t3pVXB 1163 289.77258242
876 271940 262688 1640831316 MmZJkhTjCUkTWzNDJeeqAez3nD6a5PJq7mu 32 7.97310630
877 273576 264019 1640871026 MmisiZEqQd6Vwic7uoZEjRr3jZghCF44bkp 700 174.41170051
878 275076 265454 1640914137 MmUoK7TCKdzfZLNGZggxaMhDdhuDs4w6Gdf 500 124.57978608
879 275296 265596 1640918871 MmR3yfPYwtaWHmAxjSRWP5ymxH4HFtws39K 2000 498.31914432
880 275516 265742 1640923297 MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 500 124.57978608
881 275942 266048 1640931924 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 210 52.32351015
882 275974 266079 1640932887 MmRkGkzAtXoyYuP1kvCfxXPk5pGgPgfeKGQ 470 117.10499891
883 276172 266213 1640937170 MmRRTT11wPL2mQxiCmdza9WAm9snzXR8Mcy 520 129.56297752
884 276188 266224 1640937514 MmVsfChfXVWULSrZUpH5BrZ76uDuQa9Wn5T 68 16.94285090
885 276266 266289 1640939217 Mmis9Eue6SEyg5djSAWwdhWyT4AeCVikm65 501 124.82894565
886 276481 266458 1640944711 MmS2z9EZytZGw4iKnTJaPUCfSFfEixjDsip 114 28.40419122
887 276620 266585 1640948357 MmPLTR1gSP7ER8f52WriD1sTQMULLf9PnHU 127 31.64326566
888 277068 266988 1640960990 MmbWS3CimuWwveKfhToxEMyUdHHjbXgSFvb 500 124.57978608
889 277209 267105 1640964239 MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 50 12.45797860
890 278366 268243 1640998191 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 72 17.93948919
891 278550 268374 1641003833 MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A 7000 1744.11700513
892 279030 268658 1641010960 MmZv4fpJeoVeRr7S5n34UmZNatLWu1usqem 109 27.15839336
